sample_id,label,max_abs,final_abs,mean_abs,std_response,zero_crossings
near_critical-074,near_critical,1.0,2.0749887390475938e-13,0.06694991277676925,0.19850587254828866,1
near_critical-075,near_critical,1.0,1.9133950427768614e-13,0.06671291074867716,0.19836363780100752,1
near_critical-076,near_critical,1.0,3.101668866534432e-13,0.0674854889521762,0.1988280109304042,0
near_critical-077,near_critical,1.0,1.0354598927081422e-11,0.06858891595204518,0.1994945516739046,0
near_critical-078,near_critical,1.0,6.8727544277960966e-12,0.06838953051193562,0.19937384753722287,0
near_critical-079,near_critical,1.0,3.4873624252516568e-12,0.06810624940989338,0.19920254676960117,0
near_critical-080,near_critical,1.0,6.846088101335265e-12,0.06838777863199699,0.19937278746991086,0
near_critical-081,near_critical,1.0,6.9263281359842385e-12,0.06839303392073438,0.19937596748516073,0
near_critical-082,near_critical,1.0,7.490347739074228e-13,0.06765133866804324,0.19892795886425457,0
near_critical-083,near_critical,1.0,5.676724861575698e-14,0.0672495329644601,0.1986859685903396,1
near_critical-084,near_critical,1.0,3.9287703672652456e-12,0.06815259080030052,0.1992305536986978,0
near_critical-085,near_critical,1.0,2.1570338681416387e-12,0.06793409240478825,0.19909855739317855,0
near_critical-086,near_critical,1.0,7.031669851349758e-14,0.06736383735892103,0.19875475529149716,0
near_critical-087,near_critical,1.0,2.1523430129736985e-13,0.06681103187283545,0.1984225001551179,1
near_critical-088,near_critical,1.0,3.454656685880758e-12,0.06810264891107562,0.19920037103184154,0
near_critical-089,near_critical,1.0,1.274974666150371e-13,0.06714366376994682,0.19862229733366082,1
near_critical-090,near_critical,1.0,8.313283694205822e-12,0.06847890082250523,0.19942793708953674,0
near_critical-091,near_critical,1.0,1.578035080087928e-13,0.06710111308901844,0.19859671752432084,1
near_critical-092,near_critical,1.0,2.434551997800976e-13,0.06686704904621629,0.19845611992710746,1
near_critical-093,near_critical,1.0,5.226666240717653e-12,0.06826961092519221,0.19930130383084133,0
near_critical-094,near_critical,1.0,2.1839307045769337e-13,0.0669274919654949,0.19849240836650908,1
near_critical-095,near_critical,1.0,2.312350132470492e-13,0.0669789409239263,0.19852330720401512,1
near_critical-096,near_critical,1.0,1.4403276599807504e-12,0.06781077929147875,0.19902412647162993,0
near_critical-097,near_critical,1.0,6.371393709573827e-12,0.06835564188793365,0.19935334296530866,0
near_critical-098,near_critical,1.0,1.9946452343806457e-13,0.06701293076745443,0.19854372566724643,1
near_critical-099,near_critical,1.0,6.486531547342505e-14,0.06723843415748917,0.1986792918248414,1
overdamped-000,overdamped,1.0,7.321423966924797e-06,0.09950094928940395,0.21803233548646758,0
overdamped-001,overdamped,1.0,1.991108995498421e-05,0.10623661550484849,0.22175613087817286,0
overdamped-002,overdamped,1.0,1.120496908575514e-06,0.08991491750396177,0.21247546775190507,0
overdamped-003,overdamped,1.0,1.9873402761171435e-08,0.07755018558503607,0.20498146815982532,0
overdamped-004,overdamped,1.0,1.4735996360046771e-09,0.07304696735525593,0.20221494221103528,0
overdamped-005,overdamped,1.0,6.939155187437063e-08,0.08052175724598508,0.20680365311683388,0
overdamped-006,overdamped,1.0,1.6285351513435062e-08,0.07713177130910735,0.2047244229329235,0
overdamped-007,overdamped,1.0,4.007306405361866e-06,0.09604497151990948,0.21606147931256392,0
overdamped-008,overdamped,1.0,1.374093109696761e-08,0.0767856230408838,0.2045117258629638,0
overdamped-009,overdamped,1.0,1.172280940242759e-06,0.0901085664874151,0.21259036205799514,0
overdamped-010,overdamped,1.0,4.452398130606474e-06,0.09662026390114146,0.2163922376966933,0
overdamped-011,overdamped,1.0,2.075580908397423e-06,0.09269989383706242,0.21411809141590116,0
overdamped-012,overdamped,1.0,4.6209470446555755e-08,0.0794863890320539,0.206169611065199,0
overdamped-013,overdamped,1.0,8.506837206149252e-06,0.10042669773488962,0.21855353653255263,0
overdamped-014,overdamped,1.0,5.076172965177137e-06,0.09735288676743062,0.21681192248286044,0
overdamped-015,overdamped,1.0,5.852901364124439e-06,0.0981697725437272,0.21727782727862527,0
overdamped-016,overdamped,1.0,1.6077720087622263e-08,0.07710528219481158,0.20470814756137184,0
overdamped-017,overdamped,1.0,1.4202669539744512e-08,0.07685219695897204,0.20455263615895528,0
overdamped-018,overdamped,1.0,1.6132298459511673e-05,0.10470320275806191,0.22092258727079037,0
overdamped-019,overdamped,1.0,4.523357666304931e-07,0.08634031678917947,0.21033803903084636,0
overdamped-020,overdamped,1.0,1.656803371501611e-07,0.08299207656970674,0.2083110739897544,0
overdamped-021,overdamped,1.0,1.0143044275433255e-06,0.08949367433679012,0.212225204244829,0
overdamped-022,overdamped,1.0,3.6417092187380977e-06,0.0955323656015278,0.21576588390079676,0
overdamped-023,overdamped,1.0,1.8454448747760596e-05,0.10567530443198947,0.22145200311673885,0
overdamped-024,overdamped,1.0,1.4021015807189478e-07,0.08248956073687158,0.20800514187422034,0
overdamped-025,overdamped,1.0,1.5917509191829363e-05,0.10460779087405817,0.22087044054201063,0
overdamped-026,overdamped,1.0,1.9277387192173203e-09,0.0734254616536639,0.20244718536656814,0
overdamped-027,overdamped,1.0,1.7142055175148406e-06,0.09180183021037816,0.21359073412008261,0
overdamped-028,overdamped,1.0,3.0056193248821004e-06,0.09453139462493697,0.21518632563184384,0
overdamped-029,overdamped,1.0,1.0370645892084735e-08,0.07623346424623689,0.20417238245281416,0
overdamped-030,overdamped,1.0,1.8753854796314782e-08,0.07742690249646729,0.20490573892466363,0
overdamped-031,overdamped,1.0,5.53474959323885e-07,0.08708654708045546,0.2107867129224733,0
overdamped-032,overdamped,1.0,1.9398239366584408e-05,0.10604281109897049,0.22165125467245056,0
overdamped-033,overdamped,1.0,2.310364807400143e-06,0.09321706708941621,0.2144207363235516,0
overdamped-034,overdamped,1.0,1.6564962298867526e-05,0.10489237773952138,0.22102588233046824,0
overdamped-035,overdamped,1.0,8.51797053701754e-06,0.10043488778134677,0.21855813455389492,0
overdamped-036,overdamped,1.0,8.488842722008443e-07,0.08875901118426263,0.211787659741171,0
overdamped-037,overdamped,1.0,7.633753394338445e-06,0.09975590207753222,0.2181761651641986,0
overdamped-038,overdamped,1.0,1.624287354969945e-09,0.07318212144103424,0.20229785883361304,0
overdamped-039,overdamped,1.0,1.0994508455330289e-08,0.07634596023591218,0.20424152393095094,0
overdamped-040,overdamped,1.0,9.766627743998626e-06,0.10130338708732017,0.21904441602867747,0
overdamped-041,overdamped,1.0,8.168383198691969e-06,0.10017352065421353,0.21841128591991876,0
overdamped-042,overdamped,1.0,7.21603559831947e-08,0.08062517879580954,0.20686692325711928,0
overdamped-043,overdamped,1.0,1.422313269136265e-06,0.09095539421340676,0.21309163299362996,0
overdamped-044,overdamped,1.0,2.478958327286274e-06,0.09356263266025358,0.21462252342735139,0
overdamped-045,overdamped,1.0,1.1953549789915582e-05,0.1026306654204868,0.21978251356884132,0
overdamped-046,overdamped,1.0,2.4287878605717997e-06,0.0934618499359324,0.21456370931859184,0
overdamped-047,overdamped,1.0,5.209557882262976e-07,0.0868598398477386,0.2106505341451875,0
overdamped-048,overdamped,1.0,3.602593026092722e-07,0.08552970432305906,0.20984930301694044,0
overdamped-049,overdamped,1.0,5.888535052256379e-07,0.08732105105556777,0.2109274534324105,0
overdamped-050,overdamped,1.0,3.389287407271543e-06,0.09515354545944046,0.21554691079978125,0
overdamped-051,overdamped,1.0,1.1938217471838175e-05,0.10262206231159121,0.2197777492825384,0
